,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
0,CJKX-FM,Durham Radio,country,KX 96,c,50,kW,95.9 FM,Ajax
2,CJNK-FM,Weatheradio Canada,weather alerts,Weatheradio,i,50,w,100.1 FM,Algonquin Park
3,CJNK-FM-1,Weatheradio Canada,weather alerts,Weatheradio,i,22,w,101.3 FM,Algonquin Park East
4,CJNK-FM-2,Weatheradio Canada,weather alerts,Weatheradio,i,22,w,101.3 FM,Algonquin Park West
5,CFOA-FM,Friends of Algonquin Park,tourist/park information,Algonquin Park,i,10,w,102.7 FM,Algonquin Park
6,CIMA-FM,My Broadcasting Corporation,adult contemporary,my FM,p,3.75,kW,92.1 FM,Alliston
7,CFSH-FM,Apsley Community Chapel,Christian radio,The Fish 92 9,g,50,w,92.9 FM,Apsley
8,CBQT-FM-2,CBC Radio One,public news/talk,CBC Radio One,1,50,w,91.3 FM,Armstrong
9,CFMP-FM,My Broadcasting Corporation,adult contemporary,Oldies 107.7,m,2.5,kW,107.7 FM,Arnprior
12,CBQI-FM,CBC Radio One,public news/talk,CBC Radio One,1,2.9,kW,90.1 FM,Atikokan
14,CKPR-FM-2,Dougall Media,adult contemporary,91 5 CKPR,p,180,w,93.5 FM,Atikokan
16,CKMT-FM,Wawatay,First Nations community radio,WRN,e,10,w,89.9 FM,Attawapiskat
17,CBCA-FM,CBC Radio One,public news/talk,CBC Radio One,1,34,w,101.5 FM,Attawapiskat
18,CHPD-FM,Aylmer and area Inter-Mennonite Community Council,Mennonite community radio (German),Da Brigj,o,250,w,105.9 FM,Aylmer
19,CHMS-FM,Vista Broadcast Group,adult contemporary,97 7 Moose FM,p,50,kW,97.7 FM,Bancroft
20,CBLA-FM-5,CBC Radio One,public news/talk,CBC Radio One,1,269,w,99.3 FM,Bancroft
21,CKJJ-FM-4,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,250,w,103.5 FM,Bancroft
22,CHAY-FM,Corus Entertainment,hot adult contemporary,93 1 Fresh Radio,p,100,kW,93.1 FM,Barrie
23,CFJB-FM,Rock 95 Broadcasting,active rock,Rock 95,p,100,kW,95.7 FM,Barrie
24,CKEY-FM,Douglas George Edwards,tourist information,Tourism Radio,i,50,w,98.5 FM,Barrie
25,CJLF-FM,Trust Communications,Christian radio,Life 100.3,g,32.8,kW,100.3 FM,Barrie
26,CIQB-FM,Corus Entertainment,classic rock,101.1 Big FM,p,7.5,kW,101.1 FM,Barrie
27,CFRH-FM-1,Radio Huronie,community radio (French),CFRH,F,175,w,106.7 FM,Barrie
28,CKMB-FM,Rock 95 Broadcasting,hot adult contemporary,107 5 Kool FM,p,50,kW,107.5 FM,Barrie
29,CHBY-FM,Vista Broadcast Group,adult contemporary,106 5 Moose FM,p,12,kW,106.5 FM,Barry's Bay
30,CBLE,CBC Radio One,public news/talk,CBC Radio One,1,40,w,1240 AM,Beardmore
31,CFNO-FM-3,Dougall Media,adult contemporary,CFNO,p,260,w,107.1 FM,Beardmore
32,CFBL-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Bearskin Lake
33,CIDE-FM-1,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Bearskin Lake
34,CJBQ,Quinte Broadcasting,full service/variety,800 CJBQ,c m,10,kW,800 AM,Belleville
35,CJLX-FM,Loyalist College,campus radio,91X,o,3.2,kW,91.3 FM,Belleville
36,CJBC-1-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,42.28,kW,94.3 FM,Belleville
37,CJOJ-FM,Starboard Communications,classic hits,95 5 Hits FM,p,35,kW,95.5 FM,Belleville
38,CIGL-FM,Quinte Broadcasting,hot adult contemporary,Mix 97,p,50,kW,97.1 FM,Belleville
39,CHCQ-FM,Starboard Communications,country,Cool 100,c,32,kW,100.1 FM,Belleville
40,CKJJ-FM,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,15,kW,102.3 FM,Belleville
41,CBO-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,10,kW,104.7 FM,Belleville
42,CIDE-FM-2,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Big Trout Lake
43,CFTL-FM,Ayamowin Communications Society,First Nations community radio,CBC Radio One CORB,1,63,w,100.3 FM,Big Trout Lake
44,CBON-FM-6,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,136,w,98.5 FM,Blind River
45,CIBU-FM-1,Blackburn Radio,active rock,Classic Rock 94 5,p,6,kW,91.7 FM,Bluewater
46,CJFB-FM,Vista Broadcast Group,community radio,Moose FM,p,50,w,102.7 FM,Bolton
47,CJFB-FM,Vista Broadcast Group,community radio,Moose FM,p,1.1,kW,102.7 FM,Bolton
48,CFBG-FM,Vista Broadcast Group,hot adult contemporary,99 5 The Moose,p,12,kW,99.5 FM,Bracebridge
50,CFNY-FM,Corus Entertainment,modern rock,102.1 The Edge,p,35.4,kW,102.1 FM,Brampton
51,CKPC,Evanov Communications,full service/variety,1380 CKPC,c,25,kW,1380 AM,Brantford
52,CKPC-FM,Evanov Communications,adult contemporary,Jewel 92,m,80,kW,92.1 FM,Brantford
53,CFWC-FM,Sound of Faith Broadcasting,Christian radio,Arise Brantford,g,250,w,93.9 FM,Brantford
55,CIYM-FM,My Broadcasting Corporation,adult contemporary,Oldies 100.9,m,316,w,100.9 FM,Brighton
56,CBEZ-FM,CBC Radio One,public news/talk,CBC Radio One,1,49,w,107.7 FM,Britt
