,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language
0,CJKX-FM,Durham Radio,country,43.85833,-79.03639,KX 96,50,kW,95.9 FM,Ajax,1,English
1,CJNK-FM,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,50,w,100.1 FM,Algonquin Park,2,English
2,CJNK-FM-1,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,22,w,101.3 FM,Algonquin Park East,1,English
3,CJNK-FM-2,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,22,w,101.3 FM,Algonquin Park West,1,English
4,CFOA-FM,Friends of Algonquin Park,tourist/park information,45.58417,-78.35833,Algonquin Park,10,w,102.7 FM,Algonquin Park,2,English
5,CIMA-FM,My Broadcasting Corporation,adult contemporary,44.1499,-79.8632,my FM,3.75,kW,92.1 FM,Alliston,1,English
6,CFSH-FM,Apsley Community Chapel,Christian radio,44.75,-78.1,The Fish 92 9,50,w,92.9 FM,Apsley,1,English
7,CBQT-FM-2,CBC Radio One,public news/talk,50.305,-89.04194,CBC Radio One,50,w,91.3 FM,Armstrong,1,English
8,CFMP-FM,My Broadcasting Corporation,adult contemporary,45.433,-76.35,Oldies 107.7,2.5,kW,107.7 FM,Arnprior,1,English
9,CBQI-FM,CBC Radio One,public news/talk,48.75,-91.617,CBC Radio One,2.9,kW,90.1 FM,Atikokan,2,English
10,CKPR-FM-2,Dougall Media,adult contemporary,48.75,-91.617,91 5 CKPR,180,w,93.5 FM,Atikokan,2,English
11,CKMT-FM,Wawatay,First Nations community radio,52.82056,-83.88333,WRN,10,w,89.9 FM,Attawapiskat,2,English
12,CBCA-FM,CBC Radio One,public news/talk,52.82056,-83.88333,CBC Radio One,34,w,101.5 FM,Attawapiskat,2,English
13,CHPD-FM,Aylmer and area Inter-Mennonite Community Council,Mennonite community radio (German),42.767,-80.983,Da Brigj,250,w,105.9 FM,Aylmer,1,German
14,CHMS-FM,Vista Broadcast Group,adult contemporary,45.05,-77.85,97 7 Moose FM,50,kW,97.7 FM,Bancroft,3,English
15,CBLA-FM-5,CBC Radio One,public news/talk,45.05,-77.85,CBC Radio One,269,w,99.3 FM,Bancroft,3,English
16,CKJJ-FM-4,United Christian Broadcasters Canada,Christian radio,45.05,-77.85,UCB Canada,250,w,103.5 FM,Bancroft,3,English
17,CHAY-FM,Corus Entertainment,hot adult contemporary,44.37111,-79.67694,93 1 Fresh Radio,100,kW,93.1 FM,Barrie,7,English
18,CFJB-FM,Rock 95 Broadcasting,active rock,44.37111,-79.67694,Rock 95,100,kW,95.7 FM,Barrie,7,English
19,CKEY-FM,Douglas George Edwards,tourist information,44.37111,-79.67694,Tourism Radio,50,w,98.5 FM,Barrie,7,English
20,CJLF-FM,Trust Communications,Christian radio,44.37111,-79.67694,Life 100.3,32.8,kW,100.3 FM,Barrie,7,English
21,CIQB-FM,Corus Entertainment,classic rock,44.37111,-79.67694,101.1 Big FM,7.5,kW,101.1 FM,Barrie,7,English
22,CFRH-FM-1,Radio Huronie,community radio (French),44.37111,-79.67694,CFRH,175,w,106.7 FM,Barrie,7,French
23,CKMB-FM,Rock 95 Broadcasting,hot adult contemporary,44.37111,-79.67694,107 5 Kool FM,50,kW,107.5 FM,Barrie,7,English
24,CHBY-FM,Vista Broadcast Group,adult contemporary,45.483,-77.683,106 5 Moose FM,12,kW,106.5 FM,Barry's Bay,1,English
25,CBLE,CBC Radio One,public news/talk,50.0,-86.733,CBC Radio One,40,w,1240 AM,Beardmore,2,English
26,CFNO-FM-3,Dougall Media,adult contemporary,50.0,-86.733,CFNO,260,w,107.1 FM,Beardmore,2,English
27,CFBL-FM,Wawatay,First Nations community radio,53.92472,-90.96944,WRN,1,w,90.1 FM,Bearskin Lake,2,English
28,CIDE-FM-1,Wawatay,First Nations community radio,53.92472,-90.96944,Wahsa,10,w,91.9 FM,Bearskin Lake,2,English
29,CJBQ,Quinte Broadcasting,full service/variety,44.167,-77.383,800 CJBQ,10,kW,800 AM,Belleville,8,English
30,CJLX-FM,Loyalist College,campus radio,44.167,-77.383,91X,3.2,kW,91.3 FM,Belleville,8,English
31,CJBC-1-FM,Ici Radio-Canada Première,public news/talk (French),44.167,-77.383,IRC Première,42.28,kW,94.3 FM,Belleville,8,French
32,CJOJ-FM,Starboard Communications,classic hits,44.167,-77.383,95 5 Hits FM,35,kW,95.5 FM,Belleville,8,English
33,CIGL-FM,Quinte Broadcasting,hot adult contemporary,44.167,-77.383,Mix 97,50,kW,97.1 FM,Belleville,8,English
34,CHCQ-FM,Starboard Communications,country,44.167,-77.383,Cool 100,32,kW,100.1 FM,Belleville,8,English
35,CKJJ-FM,United Christian Broadcasters Canada,Christian radio,44.167,-77.383,UCB Canada,15,kW,102.3 FM,Belleville,8,English
36,CBO-FM-1,CBC Radio One,public news/talk,44.167,-77.383,CBC Radio One,10,kW,104.7 FM,Belleville,8,English
37,CIDE-FM-2,Wawatay,First Nations community radio,53.817,-89.933,Wahsa,10,w,91.9 FM,Big Trout Lake,2,English
38,CFTL-FM,Ayamowin Communications Society,First Nations community radio,53.817,-89.933,CBC Radio One CORB,63,w,100.3 FM,Big Trout Lake,2,English
39,CBON-FM-6,Ici Radio-Canada Première,public news/talk (French),46.183,-82.95,IRC Première,136,w,98.5 FM,Blind River,1,French
40,CIBU-FM-1,Blackburn Radio,active rock,43.45,-81.6,Classic Rock 94 5,6,kW,91.7 FM,Bluewater,1,English
41,CJFB-FM,Vista Broadcast Group,community radio,43.88056,-79.73806,Moose FM,50,w,102.7 FM,Bolton,2,English
42,CJFB-FM,Vista Broadcast Group,community radio,43.88056,-79.73806,Moose FM,1.1,kW,102.7 FM,Bolton,2,English
43,CFBG-FM,Vista Broadcast Group,hot adult contemporary,45.033,-79.3,99 5 The Moose,12,kW,99.5 FM,Bracebridge,1,English
44,CFNY-FM,Corus Entertainment,modern rock,43.683,-79.767,102.1 The Edge,35.4,kW,102.1 FM,Brampton,1,English
45,CKPC,Evanov Communications,full service/variety,43.167,-80.25,1380 CKPC,25,kW,1380 AM,Brantford,3,English
46,CKPC-FM,Evanov Communications,adult contemporary,43.167,-80.25,Jewel 92,80,kW,92.1 FM,Brantford,3,English
47,CFWC-FM,Sound of Faith Broadcasting,Christian radio,43.167,-80.25,Arise Brantford,250,w,93.9 FM,Brantford,3,English
48,CIYM-FM,My Broadcasting Corporation,adult contemporary,44.12222,-77.76417,Oldies 100.9,316,w,100.9 FM,Brighton,1,English
49,CBEZ-FM,CBC Radio One,public news/talk,45.783,-80.533,CBC Radio One,49,w,107.7 FM,Britt,1,English
50,CBOB-FM,CBC Radio One,public news/talk,44.583,-75.683,CBC Radio One,1.571,kW,91.9 FM,Brockville,5,English
51,CKJJ-FM-2,United Christian Broadcasters Canada,Christian radio,44.583,-75.683,UCB Canada,50,w,99.9 FM,Brockville,5,English
52,CBOF-FM-7,Ici Radio-Canada Première,public news/talk (French),44.583,-75.683,IRC Première,1.495,kW,102.1 FM,Brockville,5,French
53,CJPT-FM,Bell Media Radio,adult hits,44.583,-75.683,103 7 Bob FM,100,kW,103.7 FM,Brockville,5,English
54,CFJR-FM,Bell Media Radio,adult contemporary,44.583,-75.683,104 9 JR FM,7.7,kW,104.9 FM,Brockville,5,English
55,CBPS-FM,CBC/Weatheradio Canada,weather alerts,44.94536,-81.27686,Weatheradio,50,w,90.7 FM,Bruce Peninsula,1,English
56,CJXY-FM,Corus Entertainment,active rock,43.317,-79.8,Y108,26.1,kW,107.9 FM,Burlington,1,English
57,CHTG-FM,Durham Radio Inc.,classic hits,43.067,-79.95,92 9 The Grand,10,kW,92.9 FM,Caledonia,1,English
58,CJDV-FM,Corus Entertainment,active rock,43.39722,-80.31139,107 5 Dave Rocks,6,kW,107.5 FM,Cambridge,1,English
59,CKOL-FM,Campbellford Area Radio Association,community radio,44.3,-77.8,CKOL,500,w,93.7 FM,Campbellford,1,English
60,CJPS-FM,Wawatay,First Nations community radio,51.72778,-91.82861,WRN,10,w,89.9 FM,Cat Lake,2,English
61,CIDE-FM-3,Wawatay,First Nations community radio,51.72778,-91.82861,Wahsa,10,w,91.9 FM,Cat Lake,2,English
62,CICW-FM,Centre Wellington Community Radio,community radio,43.7,-80.367,The Grand at 101,2.25,kW,101.1 FM,Centre Wellington,1,English
63,CBCU-FM,CBC Radio One,public news/talk,47.833,-83.4,CBC Radio One,345,w,89.9 FM,Chapleau,4,English
64,CBON-FM-28,Ici Radio-Canada Première,public news/talk (French),47.833,-83.4,IRC Première,345,w,91.9 FM,Chapleau,4,French
65,CHAP-FM,Formation Plus,community-owned rebroadcaster of CHYC-FM Sudbury,47.833,-83.4,Le Loup 98.9,40,w,95.9 FM,Chapleau,4,English
66,CJWA-FM-1,Labbe Media,adult contemporary,47.833,-83.4,Jjam FM,111,w,100.7 FM,Chapleau,4,English
67,CFCO,Blackburn Radio,country,42.4,-82.18333,CFCO,10/6,kW,630 AM,Chatham,6,English
68,CBEE-FM,CBC Radio One,public news/talk,42.4,-82.18333,CBC Radio One,1.43,kW,88.1 FM,Chatham,6,English
69,CKGW-FM,United Christian Broadcasters Canada,Christian radio,42.4,-82.18333,UCB Canada,18.7,kW,89.3 FM,Chatham,6,English
70,CFCO-1-FM,Blackburn Radio,country,42.4,-82.18333,CFCO,250,w,92.9 FM,Chatham,6,English
71,CKSY-FM,Blackburn Radio,hot adult contemporary,42.4,-82.18333,94 3 CKSY,50,kW,94.3 FM,Chatham,6,English
72,CKUE-FM,Blackburn Radio,classic hits,42.4,-82.18333,Cool FM,42,kW,95.1 FM,Chatham,6,English
73,CKUN-FM,Chimnissing Communications,First Nations community radio,44.833,-80.2,Nish 101.3,900,w,101.3 FM,Christian Island,1,English
74,CHRC-FM,Evanov Communications,adult contemporary,45.483,-75.2,Jewel 92 5,333,w,92.5 FM,Clarence-Rockland,1,English
75,CHJJ-FM,United Christian Broadcasters Canada,Christian radio,43.967,-78.167,UCB Canada,250,w,90.7 FM,Cobourg,4,English
76,CKSG-FM,My Broadcasting Corporation,hot adult contemporary,43.967,-78.167,my FM,15.5,kW,93.3 FM,Cobourg,4,English
77,CFMX-FM,ZoomerMedia,classical,43.967,-78.167,Classical FM,86.7,kW,103.1 FM,Cobourg,4,English
78,CHUC-FM,My Broadcasting Corporation,classic hits,43.967,-78.167,Classic Rock 107.9,20,kW,107.9 FM,Cobourg,4,English
79,CHPB-FM,Vista Broadcast Group,adult contemporary,49.067,-81.017,Moose 98.1,50,w,98.1 FM,Cochrane,2,English
80,CFCJ-FM,Cochrane Christian Radio,Christian radio,49.067,-81.017,CFCJ,37,w,102.1 FM,Cochrane,2,English
81,CKCB-FM,Corus Entertainment,adult contemporary,44.5,-80.217,95 1 The Peak,350,w,95.1 FM,Collingwood,2,English
82,CFMO-FM,ZoomerMedia,pop standards,44.5,-80.217,Classical FM,23,kW,102.9 FM,Collingwood,2,English
83,CKID-FM,Wawatay,First Nations community radio,49.805,-84.13472,WRN,10,w,89.9 FM,Constance Lake,1,English
84,CHRI-FM-1,Christian Hit Radio Inc.,Christian radio,45.0275,-74.74,CHRI,50,w,88.1 FM,Cornwall,6,English
85,CHOD-FM,Radio communautaire Cornwall-Alexandria,community radio (French),45.0275,-74.74,FM 92.1,45.6,kW,92.1 FM,Cornwall,6,French
86,CBOC-FM,CBC Radio One,public news/talk,45.0275,-74.74,CBC Radio One,3,kW,95.5 FM,Cornwall,6,English
87,CBOF-FM-6,Ici Radio-Canada Première,public news/talk (French),45.0275,-74.74,IRC Première,3,kW,98.1 FM,Cornwall,6,French
88,CJSS-FM,Corus Entertainment,classic hits,45.0275,-74.74,boom 101 9,3.2,kW,101.9 FM,Cornwall,6,English
